,Yobs,Yest_rf,Yest_sw,Yest_ann
3601,39.8822442135763,42.6306438256759,41.234009074311686,41.483559494832775
2787,91.9541945769964,89.50264832009793,95.15796963546345,95.25608238996767
1814,87.6884932066799,82.94978895128011,83.61999459749734,83.38796264859286
1598,56.5239626252752,57.217361031054416,64.67803525319688,65.85404762972314
5752,70.5918723401414,70.61091882615884,72.23960980798033,72.26043841152489
5635,96.958424192985,96.46568462461417,94.74389072763269,93.95254943724024
396,84.5098590539959,86.32159744314538,85.34108233563778,87.19036059211987
12167,56.3780142146364,54.80135013652728,56.19707600845864,55.50128322605917
9143,69.3501037130246,70.11124216323459,77.75276462629867,77.33209206917002
2603,48.8715488390716,47.33820921881706,52.353267550222434,51.58405913628633
4325,47.1536819844711,46.10406986092265,41.96660931085389,41.1700448633261
10875,66.2448981962583,66.81624071795883,74.92464180104257,74.52780063806506
2661,66.306215781523,64.81636517306403,68.47850560425464,67.93856783166905
6598,114.482962169995,114.24927136806023,116.11019939084242,115.97376487288568
6375,80.3163267954341,80.20944314218842,89.39300341390438,90.35620700493394
11315,81.6887137819002,82.2929040602129,78.83425620366225,78.34997749612523
932,38.0911131928778,40.69278522674395,39.15766313629456,38.93881586554028
7198,47.5597031454794,49.22912422152619,55.502824710115014,56.525510631849215
2398,101.28518463073,100.50455962501671,101.18588315798127,101.74504896823339
11121,63.2300204341015,65.2398324637161,70.53804229620776,68.95922214268569
893,59.2250304598648,61.30124160765894,62.12895416049232,61.56560237783708
11035,107.966074117795,111.27475527519736,104.12653262616935,104.5557461982745
8883,58.6234470502907,64.33886964263203,69.81625869263996,70.53458782397468
8250,35.0068526184483,35.38336309851036,30.223780507330183,29.517486572028815
4360,35.2225822426526,35.0576496647613,27.735581401782145,27.233942317344486
12341,82.1539036888668,80.05415721423518,82.45189531879943,82.66251031050217
3991,47.7012412056152,44.79511704810499,41.24222668744016,41.125216896950064
2321,40.8904950556095,41.61553530431949,41.228536403566224,41.47954752687849
12351,85.6276232095074,82.74689828226624,82.20125237868933,82.6151443653049
6054,46.7731396644719,45.407187634393246,40.40074129876581,39.57321504784261
12146,84.1645519963383,82.83175292993096,86.0152089360339,85.11179329800791
7239,122.058240231397,119.67132145784333,115.07482320348528,116.0972020169421
1260,105.156260263994,105.82980277307072,110.43722144020386,111.80100825117336
6946,33.2256119616297,36.35257022771622,26.029254800905566,25.68939579368373
9104,44.3553388027904,49.58172651022755,50.94764754225391,50.43766846263918
5453,45.3102166442701,46.206081454713306,47.089878296048575,47.99173501185635
6473,54.5464376898599,58.492000595921326,61.73071349451394,61.11415346525985
11906,36.4580821636478,38.86983811587456,33.58200827110971,34.11708091259118
6289,94.566404771558,93.25068051062496,91.4551445967893,91.85866040232634
7735,82.6641909022743,82.85993053687538,85.90736417336431,84.6107295988437
7166,81.1443125691714,81.24150891289304,81.56197327137119,82.24523740834513
7883,39.7573995589945,39.0926420919378,36.841266854393446,36.61144955062821
7575,55.2759438818845,54.30135074749006,56.852268702520455,57.34630029940547
659,44.5860688141297,46.898926315946504,44.90913991167956,45.723370362282935
9399,41.469421530112,41.559675381916136,39.44706976169803,38.11562858662694
3207,83.0045798862984,84.66837935019196,80.51498327418523,80.92808345588139
9961,54.2483847181531,54.91935979945949,54.36956024878692,53.616775073797385
