,lon,lat,year,month,"('prec',)","('temp',)"
15528,-60.0,-2.0,1983,1,-1.338151584048711,1.0453411553219913
6170,-60.75,-2.5,1985,3,0.7117723578212721,0.032340865032411244
16356,-60.0,-1.5,1984,1,1.4349268778948712,-1.4663230348919518
16470,-60.0,-1.5,1993,7,-0.5731782545352709,-0.6717147032574289
6150,-60.75,-2.5,1983,7,-1.045720772713998,1.1405938890825689
6838,-60.75,-2.25,2006,11,1.1678681499852892,0.6711086220570123
15455,-60.0,-2.25,2010,12,0.17996145504075622,-0.26595059069165
10184,-60.5,-2.0,2013,9,-0.8539760157620188,1.0288808144879598
15122,-60.0,-2.25,1983,3,1.667387310224729,0.20529977633453617
1968,-61.25,-1.75,2009,1,0.6895091067525797,-0.6742213541458776
12062,-60.25,-2.5,2000,3,1.5249827313168784,-1.232264508184122
6238,-60.75,-2.5,1990,11,-0.519024400584398,1.767089501132679
4829,-61.0,-1.75,2009,6,0.6949244921476672,-0.8088702843696793
4772,-61.0,-1.75,2004,9,-0.5719748355585849,0.33276297401155164
16912,-60.0,-1.25,1996,5,1.638104115125368,-1.1601982951415526
16992,-60.0,-1.25,2003,1,-1.3428649750407315,0.7583296285959903
15225,-60.0,-2.25,1991,10,-0.7199953696909704,0.21062640947242559
7668,-60.75,-1.75,2008,1,0.5310589414889147,-0.8662934784722971
12977,-60.25,-2.0,2008,6,-0.09762718891482883,-1.1737655430752363
12768,-60.25,-2.0,1991,1,0.4238543676491314,-0.7666541056569139
11194,-60.5,-1.25,1995,11,0.2905757159811501,-0.15484329006167225
2458,-61.25,-1.25,1981,11,-0.6111862372156056,0.49432706814998906
6857,-60.75,-2.25,2008,6,-0.13824257937798326,-0.692634793797177
11776,-60.25,-2.75,2010,5,-0.26089103008523795,-0.015598833208969733
536,-61.25,-2.5,1991,9,-0.9102358529220921,0.2838728373083569
13697,-60.25,-1.5,2000,6,0.07556485881324038,-0.7748738316952515
16010,-60.0,-1.75,1989,3,1.0636721235872213,-1.0627522418536224
2569,-61.25,-1.25,1991,2,-0.0673411446682295,-0.17732257713623065
15090,-60.0,-2.5,2014,7,-1.1038860232538243,-0.5626753896103498
15224,-60.0,-2.25,1991,9,-1.066780604806004,-0.03342738765300154
7767,-60.75,-1.5,1982,4,2.3819173276320784,-0.9765861175635556
1827,-61.25,-1.75,1997,4,0.810452713909529,-0.43134777181371575
12584,-60.25,-2.25,2009,9,-1.853616045729241,3.373017170324665
1972,-61.25,-1.75,2009,5,-0.2723235103637554,-0.18667775634483413
13010,-60.25,-2.0,2011,3,1.765967381398262,-0.9862993897562473
10246,-60.5,-1.75,1984,11,-0.5802984834806635,-0.8516086820175319
4204,-61.0,-2.0,1991,5,2.154571425953136,0.09532046860437336
4996,-61.0,-1.5,1989,5,3.156016584385388,-1.048025667884037
11364,-60.5,-1.25,2010,1,-0.26630641548032513,0.4863580072005668
4701,-61.0,-1.75,1998,10,-1.1318655144617753,1.946168818354056
13253,-60.25,-1.75,1997,6,-0.9279862828282115,-0.43426175347152396
5714,-60.75,-2.75,1981,3,-0.3139417499741484,0.6110638889003185
5104,-61.0,-1.5,1998,5,0.4472207527797859,0.08936717274430278
5800,-60.75,-2.75,1988,5,2.0122671319600096,-0.016225495931057727
7784,-60.75,-1.5,1983,9,-0.409212418961795,0.23142116746781263
4960,-61.0,-1.5,1986,5,1.132668144917222,-0.7390809458841002
4271,-61.0,-2.0,1996,12,0.7223022738672747,0.24164621421686483
956,-61.25,-2.25,1992,9,-0.2985981580214011,1.3167174471314171
7033,-60.75,-2.0,1989,2,1.4397405538016157,-1.208663942453298
13957,-60.25,-1.25,1988,2,0.4737962551816032,-0.38843073927494337
13919,-60.25,-1.25,1984,12,0.14586458403465108,-1.4337365733422442
11147,-60.5,-1.25,1991,12,-1.4266028788351366,1.7472034040843822
14819,-60.0,-2.5,1991,12,-1.2478951607972564,2.0583414456116715
11000,-60.5,-1.5,2013,9,-0.784278000028951,-0.13153143679920656
14469,-60.0,-2.75,1996,10,-0.4597560159826095,-0.04035201073234268
14081,-60.25,-1.25,1998,6,0.8576869087444567,-0.6621998742600054
13290,-60.25,-1.75,2000,7,-0.12761237841725634,-1.35289708219016
13062,-60.25,-1.75,1981,7,-0.8701218870325568,-1.1686582418900717
